density,type,budget_ratio,accuracy,ci_low,ci_high,dcf,skip_frac,blocked_attempt_frac,retention,occupancy,read_frac_q,write_frac_e,slope,slope_ci_low,slope_ci_high
0,N,0.05,0.0,0.0,0.0,0.0,0.94118,0.0,0.075,0.05,0.0,0.05,0.25,0.0,0.5
20,N,0.05,0.0,0.0,0.0,0.15,0.94118,0.0,0.075,0.05,0.0,0.05,0.25,0.0,0.5
40,N,0.05,0.025,0.0,0.05,0.2,0.94118,0.0,0.025,0.05,0.0,0.05,0.25,0.0,0.5
60,N,0.05,0.0,0.0,0.0,0.3,0.94118,0.0,0.05,0.05,0.0,0.05,0.25,0.0,0.5
80,N,0.05,0.025,0.0,0.05,0.3,0.94118,0.0,0.075,0.05,0.0,0.05,0.25,0.0,0.5
0,K,0.05,0.0,0.0,0.0,0.0,0.94118,0.0,0.15,0.05,0.0,0.05,0.0,-0.25,0.25
20,K,0.05,0.025,0.0,0.05,0.1,0.94118,0.0,0.1,0.05,0.0,0.05,0.0,-0.25,0.25
40,K,0.05,0.05,0.05,0.05,0.15,0.94118,0.0,0.075,0.05,0.0,0.05,0.0,-0.25,0.25
60,K,0.05,0.025,0.0,0.05,0.15,0.94118,0.0,0.1,0.05,0.0,0.05,0.0,-0.25,0.25
80,K,0.05,0.0,0.0,0.0,0.3,0.94118,0.0,0.075,0.05,0.0,0.05,0.0,-0.25,0.25
0,N,0.1,0.025,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.5,0.75
20,N,0.1,0.025,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.5,0.75
40,N,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.5,0.75
60,N,0.1,0.05,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.5,0.75
80,N,0.1,0.025,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.5,0.75
0,K,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5
20,K,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5
40,K,0.1,0.025,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5
60,K,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5
80,K,0.1,0.025,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5
0,N,0.2,0.0,0.0,0.0,0.0,0.93529,0.0,0.0,0.0,0.05,0.0,-0.125,-0.25,0.0
20,N,0.2,0.025,0.0,0.05,0.0,0.92353,0.0,0.0,0.0,0.05,0.0,-0.125,-0.25,0.0
40,N,0.2,0.025,0.0,0.05,0.0,0.92353,0.0,0.0,0.0,0.075,0.0,-0.125,-0.25,0.0
60,N,0.2,0.0,0.0,0.0,0.0,0.91765,0.0,0.0,0.0,0.075,0.0,-0.125,-0.25,0.0
80,N,0.2,0.0,0.0,0.0,0.0,0.91765,0.0,0.0,0.0,0.0,0.0,-0.125,-0.25,0.0
0,K,0.2,0.025,0.0,0.05,0.0,0.92941,0.0,0.0,0.0,0.075,0.0,-0.375,-0.75,0.0
20,K,0.2,0.025,0.0,0.05,0.0,0.94118,0.0,0.0,0.0,0.0,0.0,-0.375,-0.75,0.0
40,K,0.2,0.025,0.0,0.05,0.0,0.92941,0.0,0.0,0.0,0.0,0.0,-0.375,-0.75,0.0
60,K,0.2,0.0,0.0,0.0,0.0,0.93235,0.0,0.0,0.0,0.1,0.0,-0.375,-0.75,0.0
80,K,0.2,0.0,0.0,0.0,0.0,0.91765,0.0,0.0,0.0,0.05,0.0,-0.375,-0.75,0.0
